,cons_12m,cons_gas_12m,forecast_meter_rent_12m,forecast_price_energy_off_peak,imp_cons,margin_gross_pow_ele,net_margin,num_years_antig,pow_max,churn,date_end_offpeak,date_end_peak,channel_sales_ewpakwlliwisiwduibdlfmalxowmwpci,channel_sales_foosdfpfkusacimwkcsosbicdxkicaua,channel_sales_lmkebamcaaclubfxadlmueccxoimlema,channel_sales_usilxuppasemubllopkaafesmlibmsdf,origin_up_kamkkxfxxuwbdslkwifmmcsiusiuosws,origin_up_ldkssxwpmemidmecebumciepifcamkci,origin_up_lxidpiddsbxsbosboudacockeimpuepw
1,3.6684791029325856,0.0,1.2372923375674587,0.1457109999999999,0.0,1.2400497721126476,1.2986347831244356,6,1.1702617153949575,0,0,1,0,0,0,0,1,0,0
2,2.7363965022766426,0.0,1.5990092398233435,0.165794,0.0,1.4712917110589385,0.8808135922807914,6,1.171901890731724,0,0,0,0,1,0,0,1,0,0
3,3.2000292665537704,0.0,1.3186892699477457,0.146694,0.0,1.4944328987263986,1.4225898398514822,6,1.1522883443830565,0,0,0,0,0,1,0,1,0,0
4,3.6460114095912393,0.0,2.122969094393747,0.1169,1.7268901407418216,1.6619072927660208,1.6900187807886953,6,1.3180633349627615,0,1,0,0,0,0,0,1,0,0
5,3.919235037923251,0.0,1.4930395883176515,0.164775,2.2605722081234925,1.5330090224954853,2.078782960196963,4,1.1522883443830565,1,0,0,0,0,0,1,0,0,1
6,4.6541572822721164,0.0,0.0,0.166178,0.0,0.7024305364455253,2.5411172484217825,4,1.2041199826559248,1,0,0,0,1,0,0,0,0,1
7,4.470601573789659,0.0,2.16283314387816,0.115174,1.8550949511586219,1.7397305285647175,2.0047081965443363,6,1.437750562820388,0,0,0,0,1,0,0,0,0,1
8,3.471731651480051,0.0,1.2265999052073575,0.1457109999999999,0.0,1.1405080430381795,1.639386869017684,4,1.1522883443830565,0,0,1,0,0,0,1,1,0,0
9,4.416057729263038,0.0,2.1186945078978376,0.1157609999999999,2.343585820691403,1.5368108659915414,2.519302849235429,6,1.5118833609788744,0,0,0,0,0,1,0,0,0,1
10,4.034708651341069,0.0,1.3412366232386923,0.1646369999999999,2.544663240170119,1.1908917169221696,2.0394141191761372,5,1.0969100130080565,0,0,1,0,0,0,1,1,0,0
11,3.6476763132408707,0.0,1.3324384599156054,0.1670859999999999,2.4905343458036757,1.344195715871435,1.2880255353883627,6,1.0565999762927811,0,0,0,0,1,0,0,1,0,0
12,4.663908131452911,6.188328771608294,2.166755638665238,0.1152369999999999,2.7198945098717098,0.8142475957319202,2.7279152073383828,4,1.2430380486862944,0,0,0,0,1,0,0,0,0,1
13,3.888010912245029,0.0,1.8788663369567253,0.162327,0.0,1.5330090224954853,1.9543390086024601,3,1.1522883443830565,0,1,0,0,1,0,0,0,1,0
14,3.987129767659897,0.0,1.2140486794119414,0.168242,0.0,1.2247919564926815,2.051499819132745,5,1.171901890731724,0,0,0,0,0,0,0,1,0,0
